Date,Product,Category,Region,Sales_Rep,Units_Sold,Price,Revenue,Cost
2023-10-02,Laptop,Electronics,Europe,Rep_19,13,226.83,2948.79,2478.93
2023-11-19,Tablet,Electronics,South America,Rep_13,1,114.07,114.07,82.93
2024-10-20,Monitor,Accessories,Europe,Rep_9,1,278.84,278.84,167.77
2023-05-23,Tablet,Electronics,Asia,Rep_19,11,278.96,3068.56,2495.97
2024-03-14, Printer ,Accessories,South America,Rep_12,3,794.14,2382.42,1482.37
2023-08-13,Tablet,Electronics,South America,Rep_3,7,685.97,4801.79,4199.11
2023-02-18,Laptop,Electronics,Europe,Rep_6,9,660.97,5948.73,4159.76
2024-11-27,Monitor,Accessories,NorthAmerica,Rep_13,16,433.74,6939.84,5556.4
2024-01-26,Printer,Accessories,South America,Rep_17,5,756.65,3783.25,2993.56
2023-09-15,Printer,Accessories,NA,Rep_4  ,3,524.99,1574.97,1001.49
2024-11-29,Printer,Accessories,Asia,Rep_11  ,14,864.02,12096.28,9876.84
2023-04-25,Smartphone,Electronics,South America,Rep_6,14,544.42,7621.88,5768.39
2024-04-09,Laptop,Electronics,Asia,Rep_17,15,199.8,2997.0,2193.21
2023-07-02,Printer,Accessories,N. America,Rep_10,19,128.29,2437.51,1927.88
2024-10-16, Printer ,Accessories,Europe,Rep_5,4,916.81,3667.24,2474.61
2024-01-18,Tablet,Electronics,N. America,Rep_20,13,585.86,7616.18,5033.67
2023-11-28,Monitor,Accessories,NA,Rep_4,13,169.28,2200.64,1511.68
2024-01-07,Smartphone,Electronics,Europe,Rep_2,2,661.92,1323.84,911.72
2023-09-04,Printer,Accessories,NA,Rep_3,6,510.88,3065.28,2040.04
2024-05-12,Laptop,Electronics,Europe,Rep_5,11,391.91,4311.01,2744.5
2024-11-06,Monitor,Accessories,Europe,Rep_9,7,916.15,6413.05,4371.39
2024-06-24,Printer,Accessories,South America,Rep_7,13,874.66,11370.58,6846.06
2024-07-06,Router,Accessories,Europe,Rep_10,8,580.68,4645.44,3462.94
2024-02-13,Router,Accessories,Asia,Rep_15,1,207.88,207.88,145.78
2024-06-13,Monitor,Accessories,NA,Rep_8  ,15,251.46,3771.9,2510.69
2023-08-19,Laptop,Electronics,Asia,Rep_1,9,463.45,4171.05,2583.83
2024-08-25,Printer,Accessories,Europe,Rep_19,12,326.6,3919.2,2936.16
2023-08-14,Laptop,Electronics,NA,Rep_2,17,233.28,3965.76,3566.5
2023-08-23,Laptop,Electronics,NA,Rep_11,17,978.95,16642.15,12037.45
2023-03-14,Printer,Accessories,Europe,Rep_9,5,410.56,2052.8,1622.34
2024-11-16,Monitor,Accessories,Europe,Rep_18  ,2,577.84,1155.68,848.66
2023-05-16,Router,Accessories,South America,Rep_8,6,317.85,1907.1,1528.81
2024-04-29,Monitor,Accessories,Europe,Rep_4,11,432.69,4759.59,3201.53
2023-04-10,Router,Accessories,South America,Rep_12,6,431.0,2586.0,2042.14
2024-03-09,Monitor,Accessories,South America,Rep_2,6,458.94,2753.64,2326.63
2024-11-20, Router ,Accessories,N. America,Rep_2,16,851.77,13628.32,9488.5
2024-02-17,Router,Accessories,Asia,Rep_4,6,726.23,4357.38,3736.49
2023-09-12,Tablet,Electronics,Europe,Rep_18,4,114.93,459.72,346.46
2024-04-04,Tablet,Electronics,South America,Rep_6,19,413.8,,4944.17
2023-10-13,Monitor,Accessories,Europe,Rep_3,9,721.84,6496.56,4651.67
2024-03-29, Printer ,Accessories,NorthAmerica,Rep_2,18,853.94,15370.92,12338.35
2024-10-29,Printer,Accessories,NorthAmerica,Rep_3,18,,16779.96,14484.49
2023-08-31,Tablet,Electronics,South America,Rep_16,3,305.7,917.1,598.4
2024-05-07,Tablet,Electronics,South America,Rep_2,16,599.68,9594.88,7281.51
2023-06-18,Monitor,Accessories,N. America,Rep_13,2,996.63,1993.26,1773.26
2023-09-29,Monitor,Accessories,Asia,Rep_14,5,910.38,4551.9,3595.68
2024-12-14,Router,Accessories,South America,Rep_5,9,350.98,,2558.98
2023-07-14,Smartphone,Electronics,Europe,Rep_2,16,907.4,14518.4,12574.76
2024-08-16,Router,Accessories,N. America,Rep_11,1,677.83,677.83,423.81
2023-02-28,Laptop,Electronics,South America,Rep_17,8,806.81,6454.48,5168.08
2024-06-27, Tablet ,Electronics,NorthAmerica,Rep_17,3,435.05,1305.15,1151.19
2023-03-24,Tablet,Electronics,N. America,Rep_20  ,18,244.73,4405.14,3368.26
2023-03-11,Router,Accessories,Europe,Rep_13,3,686.77,2060.31,1374.81
2023-05-03,Printer,Accessories,Europe,Rep_19,1,116.27,116.27,86.99
2024-08-31,Laptop,Electronics,NA,Rep_14,16,771.84,12349.44,9816.44
2024-11-04,Printer,Accessories,Asia,Rep_9,7,748.85,5241.95,3629.62
2023-07-29,Router,Accessories,Asia,Rep_8,16,184.31,2948.96,2094.69
2023-09-29,Monitor,Accessories,Europe,Rep_10,14,630.88,8832.32,7893.16
2024-04-13,Smartphone,Electronics,N. America,Rep_1,19,902.84,17153.96,13540.33
2024-04-14,Printer,Accessories,N. America,Rep_3,2,415.07,830.14,658.74
2024-07-04,Tablet,Electronics,Asia,Rep_5,15,543.27,8149.05,5366.74
2023-12-24,Laptop,Electronics,Europe,Rep_12,16,352.7,5643.2,3427.09
2023-10-19,Tablet,Electronics,South America,Rep_18,17,139.24,2367.08,2126.5
2024-12-21,Smartphone,Electronics,N. America,Rep_18,14,923.38,12927.32,9191.94
2023-11-03, Router ,Accessories,N. America,Rep_5,9,957.76,8619.84,6027.21
2023-09-28,Laptop,Electronics,NorthAmerica,Rep_18,14,969.99,13579.86,12073.66
2023-06-09,Smartphone,Electronics,Asia,Rep_20,1,167.81,167.81,116.08
2023-08-04, Router ,Accessories,Asia,Rep_7,1,385.23,385.23,250.73
2024-12-04, Router ,Accessories,Asia,Rep_17,10,942.54,9425.4,7623.35
2024-05-15, Smartphone ,Electronics,NorthAmerica,Rep_3,8,163.37,1306.96,866.09
2024-10-11,Monitor,Accessories,Asia,Rep_2,15,991.05,14865.75,9544.19
2023-01-04,Smartphone,Electronics,Europe,Rep_9,10,889.64,8896.4,7314.89
2023-06-15,Router,Accessories,South America,Rep_18,1,222.96,222.96,181.19
2024-12-23,Monitor,Accessories,NorthAmerica,Rep_4,7,364.23,,2148.83
2023-03-19,Router,Accessories,Europe,Rep_18,3,330.59,991.77,777.01
2023-02-06,Smartphone,Electronics,Europe,Rep_14,7,551.36,3859.52,3240.02
2023-05-11,Laptop,Electronics,Asia,Rep_12  ,1,163.85,163.85,117.81
2023-02-10,Smartphone,Electronics,Europe,Rep_8,14,901.0,12614.0,8847.44
2024-11-13,Laptop,Electronics,Asia,Rep_18,2,184.58,369.16,285.54
2024-02-21,Printer,Accessories,Europe,Rep_8,19,519.04,9861.76,7522.49
2023-06-16,Tablet,Electronics,South America,Rep_1,17,133.61,2271.37,1923.35
2023-07-03,Router,Accessories,Asia,Rep_14,11,214.35,2357.85,1784.12
2024-11-16,Router,Accessories,Europe,Rep_9,12,968.73,11624.76,8569.54
2023-06-13,Router,Accessories,NorthAmerica,Rep_13,6,146.51,879.06,667.56
2023-02-09,Monitor,Accessories,Europe,Rep_7,15,729.56,10943.4,7020.26
2024-04-16,Smartphone,Electronics,Asia,Rep_8,16,978.27,15652.32,11815.78
2023-08-17,Laptop,Electronics,Europe,Rep_13,19,815.67,15497.73,10557.82
2023-12-03,Smartphone,Electronics,NA,Rep_9,5,265.9,1329.5,829.96
2023-12-26,Router,Accessories,South America,Rep_18,9,719.65,6476.85,3999.18
2023-12-06,Laptop,Electronics,NA,Rep_9,1,498.12,498.12,334.7
2023-07-02,Printer,Accessories,Asia,Rep_2,16,264.58,,3726.91
2023-04-22, Printer ,Accessories,South America,Rep_12,1,959.38,959.38,788.01
2023-11-18, Monitor ,Accessories,NorthAmerica,Rep_13,5,650.55,3252.75,2361.11
2024-08-13, Tablet ,Electronics,Asia,Rep_2,12,609.43,7313.16,4735.96
2024-12-26,Monitor,Accessories,NorthAmerica,Rep_17,14,182.62,2556.68,1606.23
2024-07-05,Router,Accessories,Europe,Rep_12,14,981.56,13741.84,8967.91
2024-03-17,Laptop,Electronics,Asia,Rep_20,16,188.05,,2249.03
2023-11-18,Router,Accessories,NorthAmerica,Rep_10,7,411.67,2881.69,2130.73
2024-06-03,Smartphone,Electronics,South America,Rep_11,5,458.65,2293.25,1799.64
2024-02-17,Router,Accessories,Asia,Rep_18,5,898.01,4490.05,3045.46
2023-05-11,Tablet,Electronics,South America,Rep_13,10,663.27,6632.7,4980.77
2024-11-24,Router,Accessories,Europe,Rep_20,1,585.44,585.44,471.39
2024-08-05,Smartphone,Electronics,South America,Rep_18,16,163.51,2616.16,2073.9
2023-01-01,Smartphone,Electronics,Asia,Rep_7,17,880.48,14968.16,11838.63
2024-03-16,Printer,Accessories,Asia,Rep_15,12,449.35,5392.2,4275.94
2024-03-28,Monitor,Accessories,Europe,Rep_17,1,830.08,830.08,702.41
2024-04-29,Router,Accessories,Europe,Rep_3,12,447.49,5369.88,4770.37
2023-10-18, Printer ,Accessories,Asia,Rep_3,10,286.02,2860.2,1951.2
2023-08-29, Router ,Accessories,Asia,Rep_8,12,190.7,2288.4,1385.55
2023-07-23, Tablet ,Electronics,N. America,Rep_2,19,656.43,12472.17,8742.57
2023-09-08,Monitor,Accessories,NA,Rep_15,8,446.86,,2875.93
2024-02-29,Router,Accessories,Europe,Rep_13,2,334.63,669.26,501.15
2024-05-21,Monitor,Accessories,Europe,Rep_5,18,666.05,11988.9,10349.32
2024-11-02,Router,Accessories,NA,Rep_4,4,476.15,1904.6,1695.62
2024-03-11,Tablet,Electronics,Europe,Rep_17,4,259.7,1038.8,857.2
2024-04-20,Laptop,Electronics,Europe,Rep_4,3,991.45,2974.35,2152.79
2024-04-12,Tablet,Electronics,South America,Rep_17,18,325.01,5850.18,4528.99
2024-07-26, Printer ,Accessories,Asia,Rep_15,5,314.74,1573.7,1265.18
2024-09-19, Router ,Accessories,South America,Rep_18,3,192.81,578.43,503.68
2024-04-01,Tablet,Electronics,South America,Rep_15,16,450.66,7210.56,4970.17
2023-09-23,Tablet,Electronics,Asia,Rep_17  ,19,450.28,8555.32,5161.01
2024-05-11,Router,Accessories,Europe,Rep_9,9,862.43,7761.87,5483.54
2024-03-26, Laptop ,Electronics,Asia,Rep_8,14,709.09,9927.26,7393.39
2023-10-06,Smartphone,Electronics,Asia,Rep_18,15,174.96,2624.4,1646.84
2023-03-24,Tablet,Electronics,Europe,Rep_8,12,395.8,4749.6,3808.02
2024-01-28,Router,Accessories,Europe,Rep_7,4,951.58,3806.32,3175.95
2023-03-07,Monitor,Accessories,South America,Rep_11,7,182.09,1274.63,953.84
2024-07-09,Monitor,Accessories,South America,Rep_2,7,996.34,6974.38,4301.53
2023-07-31,Monitor,Accessories,South America,Rep_19,3,898.93,2696.79,1901.98
2024-12-13,Laptop,Electronics,South America,Rep_16,18,971.79,17492.22,14105.88
2023-01-07,Smartphone,Electronics,Asia,Rep_13,12,880.18,10562.16,8994.15
2024-03-05,Printer,Accessories,Europe,Rep_16,14,730.87,10232.18,6362.67
2023-08-13,Smartphone,Electronics,South America,Rep_16,18,902.71,16248.78,10463.91
2023-01-30,Monitor,Accessories,Asia,Rep_13,5,309.91,1549.55,1199.96
2023-06-19,Monitor,Accessories,Europe,Rep_20,13,433.58,5636.54,4756.34
2024-06-30, Laptop ,Electronics,South America,Rep_19,7,987.4,6911.8,5709.24
2024-07-31,Router,Accessories,N. America,Rep_3  ,6,737.36,4424.16,3293.79
2024-10-20,Monitor,Accessories,Europe,Rep_15  ,12,602.56,7230.72,5258.66
2023-07-06,Laptop,Electronics,Asia,Rep_13  ,19,200.08,3801.52,2842.73
2023-12-02,Tablet,Electronics,South America,Rep_11,13,464.68,6040.84,4660.16
2023-12-12,Monitor,Accessories,Asia,Rep_14,8,205.77,1646.16,1308.31
2023-09-16,Laptop,Electronics,South America,Rep_1,1,712.94,712.94,478.56
2024-07-06,Laptop,Electronics,Asia,Rep_8,17,174.6,2968.2,2251.41
2024-10-27,Laptop,Electronics,N. America,Rep_1,6,821.9,4931.4,4405.57
2023-09-11,Tablet,Electronics,N. America,Rep_20,13,138.84,1804.92,1565.48
2023-06-06,Tablet,Electronics,Europe,Rep_16,11,927.2,10199.2,6893.61
2024-11-16,Laptop,Electronics,Europe,Rep_15,19,972.37,18475.03,13984.29
2024-12-17,Smartphone,Electronics,Asia,Rep_6,9,295.13,2656.17,1828.37
2024-09-12,Printer,Accessories,NA,Rep_6,1,664.8,664.8,515.42
2023-11-15,Laptop,Electronics,N. America,Rep_10,16,763.39,12214.24,10682.28
2024-08-12,Router,Accessories,South America,Rep_13,10,955.37,9553.7,8283.81
2023-07-23,Laptop,Electronics,Europe,Rep_4  ,12,196.08,2352.96,1648.71
2024-12-14,Smartphone,Electronics,N. America,Rep_19,4,517.33,2069.32,1460.95
2023-02-12,Smartphone,Electronics,South America,Rep_12,18,339.34,6108.12,4325.18
2023-03-12,Printer,Accessories,Asia,Rep_1  ,4,987.59,3950.36,3197.61
2024-03-06,Monitor,Accessories,N. America,Rep_14,17,351.79,5980.43,4326.02
2024-01-06,Router,Accessories,South America,Rep_5  ,13,716.26,9311.38,6041.08
2024-03-21,Tablet,Electronics,Asia,Rep_20,14,168.58,2360.12,2082.0
2024-07-05,Monitor,Accessories,South America,Rep_14,19,753.15,14309.85,11219.27
2024-08-29,Smartphone,Electronics,Asia,Rep_8,2,174.47,348.94,301.13
2023-03-30, Smartphone ,Electronics,South America,Rep_8,13,248.35,3228.55,2335.46
2024-04-20,Printer,Accessories,South America,Rep_11,1,532.33,532.33,476.75
2023-01-30,Monitor,Accessories,Asia,Rep_6,11,634.72,6981.92,4986.96
2024-05-14,Tablet,Electronics,Asia,Rep_9  ,17,854.5,14526.5,10758.44
2023-12-15, Smartphone ,Electronics,Asia,Rep_18,3,220.47,661.41,399.56
2023-01-11, Printer ,Accessories,Europe,Rep_3,6,722.54,4335.24,3296.1
2023-09-05,Router,Accessories,South America,Rep_16,5,996.97,4984.85,3821.53
2024-07-22,Tablet,Electronics,South America,Rep_16,5,753.51,3767.55,3116.23
2024-04-03,Laptop,Electronics,NorthAmerica,Rep_10,19,322.61,,4506.25
2023-08-15,Monitor,Accessories,Europe,Rep_10,14,326.3,4568.2,3117.43
2024-11-10,Printer,Accessories,Asia,Rep_16,4,305.78,1223.12,980.34
2024-07-20, Printer ,Accessories,Asia,Rep_14,2,422.35,844.7,535.6
2024-07-17, Smartphone ,Electronics,Asia,Rep_15,2,528.59,1057.18,897.98
2023-10-05,Smartphone,Electronics,Asia,Rep_8  ,18,866.96,15605.28,11946.97
2023-05-04,Router,Accessories,Europe,Rep_11,5,179.57,897.85,751.99
2023-05-03,Router,Accessories,Europe,Rep_7,17,220.61,3750.37,2282.61
2023-08-10,Router,Accessories,South America,Rep_9,15,806.2,12093.0,9575.34
2024-08-26,Printer,Accessories,Asia,Rep_4,11,291.67,3208.37,2056.28
2023-07-18, Smartphone ,Electronics,Europe,Rep_12,2,415.53,831.06,645.71
2023-07-03,Smartphone,Electronics,N. America,Rep_18,15,493.73,7405.95,6452.42
2023-05-10,Smartphone,Electronics,NorthAmerica,Rep_2  ,6,505.82,3034.92,2649.91
2024-07-20,Smartphone,Electronics,Europe,Rep_16,10,876.13,8761.3,7752.49
2023-04-16,Laptop,Electronics,Asia,Rep_16,4,513.41,2053.64,1750.99
2024-05-05,Monitor,Accessories,Asia,Rep_6,17,332.42,5651.14,4169.08
2023-02-22,Smartphone,Electronics,South America,Rep_4,2,658.73,1317.46,927.79
2023-03-08,Monitor,Accessories,South America,Rep_3,11,621.68,6838.48,4803.82
2024-08-13,Router,Accessories,NA,Rep_5,15,215.99,3239.85,2068.36
2023-06-02,Printer,Accessories,Asia,Rep_3,11,224.94,2474.34,1960.33
2023-09-12,Laptop,Electronics,South America,Rep_20,8,726.85,5814.8,4207.0
2024-09-02,Printer,Accessories,Europe,Rep_17,3,563.71,1691.13,1508.37
2024-01-25,Monitor,Accessories,South America,Rep_10,19,136.78,2598.82,1691.0
2024-08-25,Monitor,Accessories,Asia,Rep_19,10,259.31,2593.1,1624.86
2024-09-27,Laptop,Electronics,NA,Rep_7,1,580.98,580.98,410.64
2024-10-02,Tablet,Electronics,Asia,Rep_3,14,427.84,5989.76,4498.46
2023-06-10,Tablet,Electronics,Europe,Rep_18,13,389.42,5062.46,3177.64
2023-03-18,Tablet,Electronics,NA,Rep_14,15,665.11,9976.65,6230.69
2024-04-06,Router,Accessories,South America,Rep_10,11,928.79,10216.69,6317.22
2023-02-03, Tablet ,Electronics,Asia,Rep_10,4,825.58,3302.32,2722.69
2024-12-20,Monitor,Accessories,NorthAmerica,Rep_8,15,582.93,8743.95,7670.3
2023-09-28,Router,Accessories,Europe,Rep_14,14,656.43,,6531.11
2023-04-28,Printer,Accessories,Europe,Rep_5  ,2,772.72,1545.44,944.27
2023-09-30,Tablet,Electronics,N. America,Rep_2,19,742.01,14098.19,12245.15
2023-06-19,Smartphone,Electronics,Asia,Rep_15,14,774.65,10845.1,6606.2
2023-05-08,Monitor,Accessories,Asia,Rep_13,18,502.67,9048.06,6874.58
2023-10-06,Printer,Accessories,South America,Rep_15  ,15,194.38,2915.7,2394.44
2023-03-24,Printer,Accessories,NA,Rep_14,10,607.57,6075.7,5177.79
2023-11-27,Printer,Accessories,Asia,Rep_1,12,309.89,3718.68,2613.78
2023-04-04, Tablet ,Electronics,N. America,Rep_9,4,419.59,1678.36,1333.7
2024-08-13,Laptop,Electronics,Europe,Rep_16,18,178.23,3208.14,2441.82
2024-06-15,Router,Accessories,South America,Rep_9,2,601.97,1203.94,934.21
2023-07-05,Printer,Accessories,South America,Rep_16,12,214.82,2577.84,1766.16
2023-04-04,Monitor,Accessories,Asia,Rep_14,6,909.68,5458.08,4269.67
2023-12-08,Smartphone,Electronics,NorthAmerica,Rep_6,13,397.31,5165.03,4545.78
2023-12-04,Monitor,Accessories,South America,Rep_10,6,428.82,2572.92,1920.28
2024-11-09,Monitor,Accessories,NA,Rep_15,11,179.1,1970.1,1658.35
2023-04-01,Smartphone,Electronics,Asia,Rep_11,9,172.21,1549.89,1173.81
2023-04-29,Monitor,Accessories,N. America,Rep_18,8,727.27,5818.16,5231.55
2024-04-18,Monitor,Accessories,N. America,Rep_7,6,458.07,2748.42,2448.41
2024-06-14,Smartphone,Electronics,South America,Rep_15,4,104.77,419.08,374.04
2023-02-22,Tablet,Electronics,Asia,Rep_18,6,701.78,4210.68,3700.4
2023-05-15,Smartphone,Electronics,South America,Rep_16,15,,8722.95,6481.03
2023-05-05,Laptop,Electronics,Europe,Rep_6,13,792.54,10303.02,6759.95
2023-11-15,Printer,Accessories,NA,Rep_18,4,482.89,,1453.08
2024-02-22,Laptop,Electronics,Europe,Rep_4,17,576.86,9806.62,7964.63
2024-04-17,Laptop,Electronics,Europe,Rep_16,14,359.77,5036.78,3900.34
2023-10-26,Printer,Accessories,Asia,Rep_14,11,938.81,10326.91,7189.52
2024-05-09,Monitor,Accessories,Europe,Rep_15,3,146.64,439.92,308.38
2024-07-18,Tablet,Electronics,South America,Rep_7,10,,5937.4,4540.19
2024-09-05,Printer,Accessories,Europe,Rep_3  ,2,390.12,780.24,657.71
2023-10-10,Monitor,Accessories,Asia,Rep_17  ,1,224.94,224.94,135.15
2023-10-01,Laptop,Electronics,Asia,Rep_10,9,636.07,5724.63,4244.66
2024-08-24,Printer,Accessories,South America,Rep_5,3,413.98,1241.94,1091.49
2024-04-02,Printer,Accessories,South America,Rep_12,12,467.67,5612.04,4937.93
2023-12-07,Printer,Accessories,South America,Rep_15,11,944.51,10389.61,6798.65
2023-11-26,Tablet,Electronics,Europe,Rep_19,3,933.8,2801.4,2287.28
2024-01-28, Tablet ,Electronics,South America,Rep_2  ,8,845.15,,5579.01
2023-11-22,Router,Accessories,South America,Rep_13,3,247.84,743.52,627.81
2024-01-31,Router,Accessories,Europe,Rep_16,14,570.76,7990.64,5654.57
2023-02-07,Tablet,Electronics,Asia,Rep_4,13,629.48,8183.24,6586.65
2024-03-26,Laptop,Electronics,South America,Rep_1,8,495.22,3961.76,2825.07
2023-05-28,Monitor,Accessories,Europe,Rep_3  ,19,661.69,12572.11,9579.12
2024-04-25,Smartphone,Electronics,Asia,Rep_20,15,619.74,9296.1,6568.71
2024-12-10,Monitor,Accessories,N. America,Rep_11,15,445.5,6682.5,5099.19
2024-11-21, Printer ,Accessories,South America,Rep_11,8,306.12,2448.96,1868.2
2024-10-03,Router,Accessories,South America,Rep_18,6,945.85,5675.1,4473.75
2023-02-06,Printer,Accessories,NorthAmerica,Rep_8,8,724.35,5794.8,3766.73
2024-10-08,Router,Accessories,Asia,Rep_8,15,658.07,9871.05,7502.38
2023-04-03,Monitor,Accessories,NA,Rep_4,7,615.84,4310.88,3876.81
2024-03-30,Tablet,Electronics,Asia,Rep_1,1,736.28,736.28,613.74
2023-02-17,Smartphone,Electronics,NA,Rep_10,1,130.18,130.18,100.36
2024-01-03,Smartphone,Electronics,South America,Rep_5,10,544.58,5445.8,4500.36
2023-09-08,Printer,Accessories,South America,Rep_19,6,582.83,3496.98,2495.61
2024-11-29,Tablet,Electronics,Europe,Rep_6,13,214.74,2791.62,2007.69
2023-03-22,Printer,Accessories,South America,Rep_20,8,234.93,1879.44,1256.92
2024-11-30,Tablet,Electronics,South America,Rep_19,12,794.69,9536.28,5756.68
2023-05-27,Tablet,Electronics,South America,Rep_9,19,724.55,13766.45,10501.29
2024-04-15,Smartphone,Electronics,NA,Rep_15,11,639.13,7030.43,5962.08
2023-10-22,Router,Accessories,Europe,Rep_3,10,408.27,4082.7,2728.08
2024-03-28,Smartphone,Electronics,Asia,Rep_14,15,359.14,5387.1,4226.1
2024-12-07, Smartphone ,Electronics,South America,Rep_10,13,225.2,2927.6,1845.09
2023-07-23,Monitor,Accessories,South America,Rep_4  ,1,,116.3,100.21
2023-08-31,Monitor,Accessories,Asia,Rep_19,12,191.99,2303.88,2017.34
2023-10-30,Router,Accessories,Asia,Rep_1,5,,4651.25,3777.61
2024-11-05,Monitor,Accessories,Asia,Rep_1,10,794.12,7941.2,5656.76
2024-08-02,Router,Accessories,NA,Rep_20,9,,4335.48,3559.14
2024-05-23,Smartphone,Electronics,Europe,Rep_20,8,856.4,6851.2,5982.51
2023-12-27,Tablet,Electronics,Europe,Rep_20  ,1,201.91,201.91,180.8
2023-09-14,Router,Accessories,Europe,Rep_4,14,267.69,3747.66,3190.19
2024-10-04,Router,Accessories,NorthAmerica,Rep_10  ,1,882.91,882.91,667.17
2024-03-27, Laptop ,Electronics,Asia,Rep_5,8,647.1,5176.8,3695.16
2023-04-03,Smartphone,Electronics,Asia,Rep_14,9,285.02,2565.18,2145.35
2023-06-29, Tablet ,Electronics,Europe,Rep_18  ,9,202.84,1825.56,1322.35
2024-01-10,Printer,Accessories,Asia,Rep_6,11,930.66,10237.26,7572.6
2023-09-21,Monitor,Accessories,Asia,Rep_11  ,2,926.61,1853.22,1438.32
2023-04-28,Monitor,Accessories,NorthAmerica,Rep_5,12,921.47,11057.64,7458.02
2023-08-20,Router,Accessories,South America,Rep_18  ,7,,1742.72,1063.34
2024-01-10,Laptop,Electronics,South America,Rep_1,1,426.15,426.15,329.92
2023-09-28, Printer ,Accessories,N. America,Rep_15,18,697.18,12549.24,8199.81
2024-01-13,Router,Accessories,Asia,Rep_19,9,233.8,2104.2,1524.26
2024-01-26, Router ,Accessories,Asia,Rep_4,8,,4415.84,3438.24
2024-11-22,Tablet,Electronics,South America,Rep_1,13,457.59,5948.67,4330.85
2024-09-26,Printer,Accessories,Asia,Rep_20,19,414.45,7874.55,5830.86
2023-08-15,Router,Accessories,NorthAmerica,Rep_15,17,132.89,2259.13,1675.42
2024-12-18,Smartphone,Electronics,South America,Rep_4,8,628.71,5029.68,3461.49
2023-05-24,Laptop,Electronics,N. America,Rep_10,19,507.96,9651.24,7309.05
2024-05-19,Laptop,Electronics,N. America,Rep_8  ,17,460.69,7831.73,6013.92
2024-07-04,Tablet,Electronics,South America,Rep_15,4,263.74,,905.72
2024-01-15,Router,Accessories,South America,Rep_19,7,777.92,5445.44,3712.11
2023-06-08,Monitor,Accessories,NA,Rep_16,19,679.6,12912.4,9330.76
2024-09-22,Monitor,Accessories,Asia,Rep_2,18,880.29,15845.22,11446.51
2024-12-07,Smartphone,Electronics,Europe,Rep_15  ,3,307.97,923.91,740.58
2024-03-31,Tablet,Electronics,Asia,Rep_4,8,193.7,1549.6,1301.62
2024-12-03,Smartphone,Electronics,Asia,Rep_2,3,898.71,2696.13,2067.98
2024-02-12,Smartphone,Electronics,Europe,Rep_4,8,189.5,1516.0,1020.19
2024-04-10,Laptop,Electronics,Europe,Rep_20,14,642.88,9000.32,7578.76
2023-01-22,Laptop,Electronics,Asia,Rep_8  ,16,457.47,7319.52,5858.73
2023-05-09, Printer ,Accessories,Europe,Rep_3,14,363.83,5093.62,4425.85
2024-07-21, Tablet ,Electronics,Europe,Rep_8  ,7,669.92,4689.44,3848.96
2023-12-03,Tablet,Electronics,N. America,Rep_9,19,210.5,3999.5,3451.3
2023-05-29,Tablet,Electronics,Asia,Rep_6,18,903.4,16261.2,13744.5
2023-04-23,Router,Accessories,NA,Rep_5,11,333.48,3668.28,2618.81
2023-01-16,Smartphone,Electronics,Europe,Rep_19,12,847.59,10171.08,7155.94
2023-11-28,Laptop,Electronics,Europe,Rep_9,9,492.51,4432.59,3051.13
2023-02-23,Tablet,Electronics,South America,Rep_17,12,226.1,2713.2,2334.82
2023-04-27,Router,Accessories,N. America,Rep_16,14,523.96,7335.44,4802.01
